ProductName,BasePrice,Department,Category,Subcategory
Fresh Mustard Greens,3.49,Grocery,Produce,Leafy Greens
Organic Pink Peppercorns,19.99,Grocery,Pantry,Spices & Seasonings
Zinc Picolinate,12.99,Grocery,Pantry,Health & Supplements
Premium Lobster Claws,29.99,Grocery,Seafood,Fish
Organic Green Peppercorns,16.99,Grocery,Pantry,Spices & Seasonings
Selenium Methionine,9.99,Grocery,Pantry,Health & Supplements
Fresh Collard Greens,2.99,Grocery,Produce,Leafy Greens
Organic Sichuan Peppercorns,24.99,Grocery,Pantry,Spices & Seasonings
Copper Bisglycinate,8.99,Grocery,Pantry,Health & Supplements
Premium Lobster Meat,49.99,Grocery,Seafood,Fish
Organic Tellicherry Pepper,29.99,Grocery,Pantry,Spices & Seasonings
Chromium Picolinate,7.99,Grocery,Pantry,Health & Supplements
Fresh Turnip Greens,3.49,Grocery,Produce,Leafy Greens
Organic Malabar Pepper,34.99,Grocery,Pantry,Spices & Seasonings
Molybdenum Chelate,6.99,Grocery,Pantry,Health & Supplements
Premium King Prawns,34.99,Grocery,Seafood,Shellfish
Organic Long Pepper Whole,22.99,Grocery,Pantry,Spices & Seasonings
Boron Citrate,5.99,Grocery,Pantry,Health & Supplements
Fresh Swiss Chard,4.49,Grocery,Produce,Leafy Greens
Organic Cubeb Pepper,27.99,Grocery,Pantry,Spices & Seasonings
Vanadium Chelate,9.99,Grocery,Pantry,Health & Supplements
Premium Tiger Prawns,29.99,Grocery,Seafood,Shellfish
Organic Pink Salt Coarse,6.99,Grocery,Pantry,Spices & Seasonings
Manganese Bisglycinate,8.49,Grocery,Pantry,Health & Supplements
Fresh Arugula Wild,5.99,Grocery,Produce,Leafy Greens
Organic Black Salt Kala,8.99,Grocery,Pantry,Spices & Seasonings
Iodine Kelp Extract,11.99,Grocery,Pantry,Baking
Premium Jumbo Shrimp,24.99,Grocery,Seafood,Fish
Organic Red Salt Alaea,12.99,Grocery,Pantry,Spices & Seasonings
Potassium Citrate,7.99,Grocery,Pantry,Health & Supplements
Fresh Watercress,4.99,Grocery,Produce,Leafy Greens
Organic Grey Salt Celtic,14.99,Grocery,Pantry,Spices & Seasonings
Calcium Magnesium,9.99,Grocery,Pantry,Health & Supplements
Premium Colossal Shrimp,32.99,Grocery,Seafood,Fish
Organic Fleur de Sel,24.99,Grocery,Pantry,Spices & Seasonings
Vitamin K2 MK7,19.99,Grocery,Pantry,Health & Supplements
Fresh Purslane,6.99,Grocery,Produce,Leafy Greens
Organic Smoked Salt,11.99,Grocery,Pantry,Spices & Seasonings
CoQ10 Ubiquinol,39.99,Grocery,Pantry,Health & Supplements
Premium Rock Shrimp,18.99,Grocery,Seafood,Fish
Organic Truffle Salt,34.99,Grocery,Pantry,Spices & Seasonings
PQQ Supplement,49.99,Grocery,Pantry,Health & Supplements
Fresh Lamb's Lettuce,7.99,Grocery,Produce,Leafy Greens
Organic Saffron Salt,49.99,Grocery,Pantry,Spices & Seasonings
NAD Precursor,59.99,Grocery,Pantry,Health & Supplements
Premium Brown Shrimp,16.99,Grocery,Seafood,Fish
Organic Vanilla Salt,19.99,Grocery,Pantry,Spices & Seasonings
Resveratrol Extract,29.99,Grocery,Pantry,Baking
Fresh Mache Lettuce,8.99,Grocery,Produce,Leafy Greens
Organic Lavender Salt,16.99,Grocery,Pantry,Spices & Seasonings
Curcumin Complex,24.99,Grocery,Pantry,Health & Supplements
Premium White Shrimp,21.99,Grocery,Seafood,Fish
Organic Rosemary Salt,12.99,Grocery,Pantry,Spices & Seasonings
Green Tea Extract,14.99,Grocery,Pantry,Baking
Fresh Dandelion Greens,5.49,Grocery,Produce,Leafy Greens
Organic Lemon Salt,9.99,Grocery,Pantry,Spices & Seasonings
Grape Seed Extract,12.99,Grocery,Produce,Fresh Fruit
Premium Pink Shrimp,23.99,Grocery,Seafood,Fish
Organic Lime Salt,8.99,Grocery,Pantry,Spices & Seasonings
Pine Bark Extract,19.99,Grocery,Pantry,Baking
Fresh Chicory Leaves,4.99,Grocery,Produce,Leafy Greens
Organic Orange Salt,10.99,Grocery,Pantry,Spices & Seasonings
Milk Thistle Extract,16.99,Grocery,Pantry,Health & Supplements
Premium Gulf Shrimp,26.99,Grocery,Seafood,Fish
Organic Chili Salt,7.99,Grocery,Pantry,Spices & Seasonings
Saw Palmetto Extract,13.99,Grocery,Pantry,Baking
Fresh Endive Belgian,6.99,Grocery,Produce,Leafy Greens
Organic Garlic Salt,6.49,Grocery,Pantry,Spices & Seasonings
Ginkgo Biloba Extract,11.99,Grocery,Pantry,Baking
Premium Bay Scallops,34.99,Grocery,Seafood,Shellfish
Organic Onion Salt,5.99,Grocery,Pantry,Spices & Seasonings
Ginseng Extract,22.99,Grocery,Pantry,Baking
Fresh Radicchio Red,7.49,Grocery,Produce,Leafy Greens
Organic Celery Salt,6.99,Grocery,Pantry,Spices & Seasonings
Rhodiola Rosea,18.99,Grocery,Pantry,Health & Supplements
Premium Sea Scallops,39.99,Grocery,Seafood,Shellfish
Organic Dill Salt,8.49,Grocery,Pantry,Spices & Seasonings
Ashwagandha Extract,16.99,Grocery,Pantry,Baking
Fresh Frisee Lettuce,5.99,Grocery,Produce,Leafy Greens
Organic Herb Salt,9.49,Grocery,Pantry,Spices & Seasonings
Bacopa Monnieri,14.99,Grocery,Pantry,Health & Supplements
Premium Diver Scallops,49.99,Grocery,Seafood,Shellfish
Organic Mushroom Salt,12.99,Grocery,Pantry,Spices & Seasonings
Lion's Mane Extract,24.99,Grocery,Pantry,Baking
Fresh Escarole,4.49,Grocery,Produce,Leafy Greens
Organic Seaweed Salt,11.49,Grocery,Pantry,Spices & Seasonings
Cordyceps Extract,34.99,Grocery,Pantry,Baking
Premium Dry Scallops,69.99,Grocery,Seafood,Shellfish
Organic Smoke Salt,13.99,Grocery,Pantry,Spices & Seasonings
Reishi Extract,22.99,Grocery,Pantry,Baking
Fresh Butter Lettuce,3.99,Grocery,Produce,Leafy Greens
Organic Wine Salt,15.99,Grocery,Pantry,Spices & Seasonings
Chaga Extract,29.99,Grocery,Pantry,Baking
Premium Wet Scallops,29.99,Grocery,Seafood,Shellfish
Organic Beer Salt,8.99,Grocery,Pantry,Spices & Seasonings
Turkey Tail Extract,19.99,Grocery,Meat & Poultry,Turkey
Fresh Red Lettuce,4.49,Grocery,Produce,Leafy Greens
Organic Coffee Salt,11.99,Grocery,Pantry,Spices & Seasonings
Maitake Extract,21.99,Grocery,Pantry,Baking
Premium Weathervane Scallops,44.99,Grocery,Seafood,Shellfish
Organic Chocolate Salt,14.99,Grocery,Pantry,Spices & Seasonings
Shiitake Extract,18.99,Grocery,Pantry,Baking
Fresh Green Lettuce,3.99,Grocery,Produce,Leafy Greens
Organic Caramel Salt,12.99,Grocery,Pantry,Spices & Seasonings
Oyster Mushroom Extract,16.99,Grocery,Pantry,Baking
Premium Calico Scallops,24.99,Grocery,Seafood,Shellfish
Organic Vanilla Sugar,16.99,Grocery,Pantry,Baking
Enoki Mushroom Extract,15.99,Grocery,Pantry,Baking
Fresh Iceberg Lettuce,2.99,Grocery,Produce,Leafy Greens
Organic Cinnamon Sugar,8.99,Grocery,Pantry,Baking
King Oyster Extract,19.99,Grocery,Pantry,Baking
Premium Pink Scallops,39.99,Grocery,Seafood,Shellfish
Organic Coconut Sugar,9.99,Grocery,Pantry,Baking
Chanterelle Extract,39.99,Grocery,Pantry,Baking
Fresh Boston Lettuce,4.99,Grocery,Produce,Leafy Greens
Organic Palm Sugar,11.99,Grocery,Pantry,Baking
Morel Extract,79.99,Grocery,Pantry,Baking
Premium Maine Scallops,54.99,Grocery,Seafood,Shellfish
Organic Date Sugar,13.99,Grocery,Pantry,Baking
Porcini Extract,29.99,Grocery,Pantry,Baking
Fresh Bibb Lettuce,5.49,Grocery,Produce,Leafy Greens
Organic Maple Sugar,18.99,Grocery,Pantry,Baking
Black Truffle Extract,99.99,Grocery,Pantry,Baking
Premium Nantucket Scallops,64.99,Grocery,Seafood,Shellfish
Organic Beet Sugar,7.99,Grocery,Pantry,Baking
White Truffle Extract,149.99,Grocery,Pantry,Baking
Fresh Romaine Hearts,4.49,Grocery,Produce,Leafy Greens
Organic Cane Sugar,5.99,Grocery,Pantry,Baking
Truffle Oil Extract,34.99,Grocery,Pantry,Oils & Vinegars
Premium Diver Scallops Wild,79.99,Grocery,Seafood,Shellfish
Organic Brown Sugar,6.49,Grocery,Pantry,Baking
Shiitake Powder Dried,22.99,Grocery,Pantry,Health & Supplements
Fresh Little Gem Lettuce,6.99,Grocery,Produce,Leafy Greens
Organic Raw Sugar,8.99,Grocery,Pantry,Baking
Maitake Powder Dried,26.99,Grocery,Pantry,Health & Supplements
Premium U10 Scallops,89.99,Grocery,Seafood,Shellfish
Organic Turbinado Sugar,9.49,Grocery,Pantry,Baking
Reishi Powder Dried,32.99,Grocery,Pantry,Health & Supplements
Fresh Red Oak Lettuce,5.99,Grocery,Produce,Leafy Greens
Organic Demerara Sugar,11.99,Grocery,Pantry,Baking
Cordyceps Powder Dried,44.99,Grocery,Pantry,Health & Supplements
Premium U15 Scallops,69.99,Grocery,Seafood,Shellfish
Organic Muscovado Sugar,14.99,Grocery,Pantry,Baking
Lion's Mane Powder,29.99,Grocery,Pantry,Health & Supplements
Fresh Green Oak Lettuce,5.99,Grocery,Produce,Leafy Greens
Organic Jaggery Sugar,12.99,Grocery,Pantry,Baking
Turkey Tail Powder,24.99,Grocery,Meat & Poultry,Turkey
Premium Sea Scallops Dry,99.99,Grocery,Seafood,Shellfish
Organic Piloncillo Sugar,10.99,Grocery,Pantry,Baking
Chaga Powder Dried,39.99,Grocery,Pantry,Health & Supplements
Fresh Lolla Rossa,6.49,Grocery,Produce,Leafy Greens
Organic Panela Sugar,9.99,Grocery,Pantry,Baking
Oyster Mushroom Powder,19.99,Grocery,Pantry,Health & Supplements
Premium Scallops Sashimi,119.99,Grocery,Seafood,Shellfish
Organic Sucanat Sugar,13.49,Grocery,Pantry,Baking
Enoki Mushroom Powder,17.99,Grocery,Pantry,Health & Supplements
Fresh Mizuna Leaves,7.99,Grocery,Produce,Leafy Greens
Organic Rapadura Sugar,15.99,Grocery,Pantry,Baking
King Oyster Powder,24.99,Grocery,Pantry,Health & Supplements
Premium Scallops Crudo,129.99,Grocery,Seafood,Shellfish
Organic Coconut Nectar,18.99,Grocery,Pantry,Sweeteners
Chanterelle Powder,49.99,Grocery,Pantry,Health & Supplements
Fresh Tatsoi Greens,6.99,Grocery,Produce,Leafy Greens
Organic Agave Nectar,12.99,Grocery,Pantry,Sweeteners
Morel Powder Dried,119.99,Grocery,Pantry,Health & Supplements
Premium Scallops Tartare,139.99,Grocery,Seafood,Shellfish
Organic Yacon Syrup,19.99,Grocery,Pantry,Sweeteners
Porcini Powder Dried,39.99,Grocery,Pantry,Health & Supplements
Fresh Baby Arugula,7.49,Grocery,Produce,Leafy Greens
Organic Monk Fruit,24.99,Grocery,Pantry,Sweeteners
Black Truffle Powder,199.99,Grocery,Pantry,Specialty Items
Premium Scallops Carpaccio,149.99,Grocery,Seafood,Shellfish
Organic Stevia Extract,16.99,Grocery,Pantry,Baking
White Truffle Powder,299.99,Grocery,Pantry,Specialty Items
Fresh Baby Spinach,4.99,Grocery,Produce,Leafy Greens
Organic Erythritol,11.99,Grocery,Pantry,Sweeteners
Truffle Powder Mixed,149.99,Grocery,Pantry,Specialty Items
Premium Scallops Ceviche,89.99,Grocery,Seafood,Shellfish
Organic Xylitol,13.99,Grocery,Pantry,Sweeteners
Mushroom Blend Powder,29.99,Grocery,Pantry,Health & Supplements
Fresh Baby Kale,5.99,Grocery,Produce,Leafy Greens
Cotton Bath Towel Set,29.99,Home & Garden,Bath,Towels & Linens
LED Light Bulb 60W,8.99,Home & Garden,Lighting,Light Bulbs
Memory Foam Pillow,39.99,Home & Garden,Bedding,Pillows & Accessories
Ceramic Dinner Plate Set,49.99,Home & Garden,Kitchen,Dinnerware
Stainless Steel Kitchen Knife,24.99,Home & Garden,Kitchen,Cutlery & Tools
Non-Stick Frying Pan 12in,34.99,Home & Garden,Kitchen,Cookware
Glass Food Storage Container,19.99,Home & Garden,Kitchen,Storage & Organization
Microfiber Cleaning Cloth,12.99,Home & Garden,Cleaning,Cleaning Supplies
All-Purpose Cleaner Spray,4.99,Home & Garden,Cleaning,Cleaning Supplies
Wireless Bluetooth Headphones,79.99,Electronics,Audio,Headphones & Earbuds
Smartphone Charging Cable,14.99,Electronics,Accessories,Phone & Tablet Accessories
Portable Phone Charger,29.99,Electronics,Accessories,Phone & Tablet Accessories
Digital Photo Frame,89.99,Electronics,Home Electronics,Digital Cameras & Accessories
Bluetooth Speaker Portable,49.99,Electronics,Audio,Speakers
USB Flash Drive 32GB,19.99,Electronics,Computer,Storage & Memory
HDMI Cable 6ft,12.99,Electronics,Accessories,Cables & Adapters
Smart Fitness Tracker,149.99,Electronics,Wearables,Fitness Trackers
Tablet Screen Protector,9.99,Electronics,Accessories,Phone & Tablet Accessories
Wireless Computer Mouse,24.99,Electronics,Computer,Input Devices
Men's Cotton T-Shirt,14.99,Clothing,Men's Apparel,Shirts & Tops
Women's Yoga Pants,29.99,Clothing,Women's Apparel,Activewear
Kids' Sneakers Size 10,34.99,Clothing,Children's Apparel,Shoes
Baseball Cap Adjustable,19.99,Clothing,Accessories,Hats & Caps
Women's Denim Jeans,39.99,Clothing,Women's Apparel,Jeans & Pants
Men's Athletic Shorts,24.99,Clothing,Men's Apparel,Shorts
Children's Pajama Set,19.99,Clothing,Children's Apparel,Sleepwear
Unisex Winter Gloves,12.99,Clothing,Accessories,Gloves & Mittens
Women's Running Shoes,79.99,Clothing,Women's Apparel,Athletic Shoes
Men's Dress Shirt,49.99,Clothing,Men's Apparel,Dress Shirts
Multivitamin Tablets 90ct,24.99,Health & Beauty,Vitamins & Supplements,Multivitamins
Shampoo & Conditioner Set,16.99,Health & Beauty,Hair Care,Shampoo & Conditioner
Electric Toothbrush,59.99,Health & Beauty,Oral Care,Toothbrushes
Face Moisturizer SPF 30,19.99,Health & Beauty,Skin Care,Moisturizers
Pain Relief Tablets 100ct,12.99,Health & Beauty,Medicine,Pain Relief
Hand Sanitizer Gel 8oz,3.99,Health & Beauty,Personal Care,Hand Care
Deodorant Antiperspirant,5.99,Health & Beauty,Personal Care,Deodorants
Body Lotion Unscented,8.99,Health & Beauty,Skin Care,Body Moisturizers
Contact Lens Solution,9.99,Health & Beauty,Vision Care,Contact Lens Care
Lip Balm SPF 15,2.99,Health & Beauty,Personal Care,Lip Care
Baby Formula Powder,28.99,Baby & Kids,Baby Food,Formula
Disposable Diapers Size 3,34.99,Baby & Kids,Diaper & Potty,Disposable Diapers
Baby Wipes Sensitive,6.99,Baby & Kids,Diaper & Potty,Baby Wipes
Children's Toy Building Blocks,24.99,Baby & Kids,Toys,Building & Construction
Baby Bottle 8oz,12.99,Baby & Kids,Feeding,Bottles & Cups
Pacifier 2-Pack,7.99,Baby & Kids,Feeding,Pacifiers & Teethers
Baby Shampoo Gentle,8.99,Baby & Kids,Bath & Body,Shampoo & Wash
Car Seat Cover,19.99,Baby & Kids,Safety,Car Seats & Travel
Children's Picture Book,9.99,Baby & Kids,Toys,Books & Learning
Baby Blanket Soft,29.99,Baby & Kids,Nursery,Blankets & Swaddles
Laundry Detergent Pods 42ct,19.99,Home & Garden,Laundry,Laundry Detergent
Fabric Softener Liquid,7.99,Home & Garden,Laundry,Fabric Softeners
Toilet Paper 12 Roll Pack,14.99,Home & Garden,Paper Products,Toilet Paper
Paper Towels 6 Roll Pack,12.99,Home & Garden,Paper Products,Paper Towels
Trash Bags 13 Gallon 40ct,11.99,Home & Garden,Cleaning,Trash Bags
Dish Soap Liquid,3.99,Home & Garden,Cleaning,Dishwashing
Sponges Kitchen 8-Pack,5.99,Home & Garden,Cleaning,Sponges & Scrubbers
Aluminum Foil 75 sq ft,4.99,Home & Garden,Kitchen,Food Storage & Wraps
Plastic Food Wrap,3.99,Home & Garden,Kitchen,Food Storage & Wraps
Oven Mitt Heat Resistant,8.99,Home & Garden,Kitchen,Oven Mitts & Pot Holders
Dog Food Dry 15lb Bag,39.99,Pet Supplies,Dog,Dog Food
Cat Litter Clumping 20lb,16.99,Pet Supplies,Cat,Cat Litter
Dog Toy Rope,7.99,Pet Supplies,Dog,Dog Toys
Cat Treats Salmon Flavor,4.99,Pet Supplies,Cat,Cat Treats
Pet Food Bowl Stainless Steel,12.99,Pet Supplies,Feeding,Food & Water Bowls
Dog Leash 6ft,14.99,Pet Supplies,Dog,Leashes & Collars
Cat Scratching Post,29.99,Pet Supplies,Cat,Scratching Posts & Pads
Pet Waste Bags 200ct,8.99,Pet Supplies,Dog,Waste Management
Aquarium Fish Food Flakes,6.99,Pet Supplies,Fish & Aquatic,Fish Food
Bird Seed Wild Mix 10lb,19.99,Pet Supplies,Bird,Bird Food
Motor Oil 5W-30 5 Quart,24.99,Automotive,Fluids & Chemicals,Motor Oil
Car Air Freshener,2.99,Automotive,Interior,Air Fresheners
Windshield Washer Fluid,3.99,Automotive,Fluids & Chemicals,Windshield Washer Fluid
Car Phone Mount,19.99,Automotive,Electronics,Phone Mounts & Holders
Tire Pressure Gauge,12.99,Automotive,Tools & Equipment,Tire Gauges & Inflators
Jumper Cables 12ft,29.99,Automotive,Tools & Equipment,Jump Starters & Cables
Car Seat Covers,49.99,Automotive,Interior,Seat Covers
Emergency Kit First Aid,34.99,Automotive,Safety,Emergency Kits
Car Floor Mats,39.99,Automotive,Interior,Floor Mats & Liners
Window Tint Film,24.99,Automotive,Exterior,Window Tinting
Office Chair Ergonomic,149.99,Office Supplies,Furniture,Chairs & Seating
Printer Paper 500 Sheets,12.99,Office Supplies,Paper,Copy & Printing Paper
Black Ink Cartridge,34.99,Office Supplies,Printing,Ink & Toner
Spiral Notebook 5-Pack,8.99,Office Supplies,Paper,Notebooks & Pads
Ballpoint Pens 12-Pack,5.99,Office Supplies,Writing,Pens & Pencils
Stapler Heavy Duty,19.99,Office Supplies,Office Tools,Staplers & Staple Removers
File Folders Letter Size,7.99,Office Supplies,Filing,Folders & Binders
Desk Lamp LED,39.99,Office Supplies,Furniture,Desk Accessories
Wireless Keyboard,49.99,Office Supplies,Computer,Keyboards & Mice
Paper Clips 500ct,3.99,Office Supplies,Office Tools,Paper Clips & Fasteners
Gift Wrap Paper Roll,6.99,Seasonal,Wrapping & Party,Gift Wrap & Bags
Birthday Candles 24ct,3.99,Seasonal,Party Supplies,Candles & Cake Decorating
Plastic Party Plates 20ct,4.99,Seasonal,Party Supplies,Tableware
Halloween Decoration Set,19.99,Seasonal,Holiday Decor,Halloween
Christmas Tree Lights LED,24.99,Seasonal,Holiday Decor,Christmas
Valentine's Day Cards 32ct,5.99,Seasonal,Cards & Stationery,Greeting Cards
Easter Egg Dye Kit,7.99,Seasonal,Holiday Decor,Easter
Fourth of July Flag,12.99,Seasonal,Holiday Decor,Independence Day
Thanksgiving Tablecloth,14.99,Seasonal,Holiday Decor,Thanksgiving
New Year's Party Hats,8.99,Seasonal,Party Supplies,Party Favors
Sporting Goods Basketball,29.99,Sports & Recreation,Team Sports,Basketballs
Yoga Mat Non-Slip,24.99,Sports & Recreation,Fitness,Exercise Mats
Resistance Bands Set,19.99,Sports & Recreation,Fitness,Resistance Training
Camping Tent 2-Person,89.99,Sports & Recreation,Outdoor Recreation,Tents & Shelters
Fishing Rod Spinning,49.99,Sports & Recreation,Fishing,Fishing Rods
Bicycle Helmet,34.99,Sports & Recreation,Cycling,Helmets & Safety
Soccer Ball Official Size,19.99,Sports & Recreation,Team Sports,Soccer Balls
Golf Balls 12-Pack,24.99,Sports & Recreation,Golf,Golf Balls
Tennis Racket Lightweight,79.99,Sports & Recreation,Racquet Sports,Tennis Rackets
Skateboard Complete,99.99,Sports & Recreation,Action Sports,Skateboards
